Method,Group,Accuracy,Macro-F1,ROC-AUC,Accuracy_mean,Accuracy_std,Macro-F1_mean,Macro-F1_std,ROC-AUC_mean,ROC-AUC_std
Logistic Regression,baseline,0.780 ± 0.036,0.767 ± 0.038,0.853 ± 0.030,0.7795979545053782,0.03641533338387863,0.7665000118401173,0.03838465281889411,0.8530080742428303,0.02998118124755197
Random Forest,baseline,0.780 ± 0.021,0.768 ± 0.018,0.847 ± 0.027,0.7796508552283548,0.021266807079845348,0.7680323414516694,0.01824439528378522,0.8469307686723846,0.026620851377329578
XGBoost,baseline,0.787 ± 0.032,0.778 ± 0.031,0.830 ± 0.027,0.7872156586140011,0.03230004917665283,0.7776168536462291,0.030857531072682846,0.830303398329313,0.027184561131559513
Raw gradient features,comparison,0.774 ± 0.026,0.760 ± 0.030,0.812 ± 0.038,0.7739552107212132,0.025735318221919715,0.7596847908173106,0.030304102631608862,0.8115372051728759,0.03842880365866426
Godambe whitening,method,0.770 ± 0.018,0.757 ± 0.023,0.811 ± 0.041,0.7702168929642038,0.01781937032581275,0.756517167964118,0.022865087794039524,0.8110938756365587,0.04053701837845837
